state,city,year,month,day_of_week,time_of_day,severity,vehicles_involved,casualties,fatalities,weather,road_type,road_condition,lighting,speed_limit,driver_age,driver_gender,alcohol_involved,hour,vehicle_type,engine_size,car_age,casualty_severity,casualty_age,state_clean,state_weather,district,total_rainfall,avg_daily_rainfall,max_daily_rainfall,rainy_days_count,rainfall_intensity,drought_risk,flood_risk,normal_rainfall,season,annual_rainfall,monsoon_rainfall,winter_rainfall,summer_rainfall,post_monsoon_rainfall,is_night,is_evening,is_morning,is_afternoon,is_morning_rush,is_evening_rush,is_rush_hour,day_of_week_num,is_weekend,is_weekday,is_friday,is_monday,is_winter,is_summer,is_monsoon,is_post_monsoon,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,state_encoded,city_encoded,weather_encoded,weather_clear,weather_rainy,weather_foggy,weather_stormy,road_type_encoded,road_highway,road_urban,road_rural,road_condition_encoded,lighting_encoded,lighting_daylight,lighting_dark,lighting_twilight,vehicle_type_encoded,driver_gender_encoded,season_encoded,total_rainfall_level,total_rainfall_low,total_rainfall_high,avg_daily_rainfall_level,avg_daily_rainfall_low,avg_daily_rainfall_high,max_daily_rainfall_level,max_daily_rainfall_low,max_daily_rainfall_high,normal_rainfall_level,normal_rainfall_low,normal_rainfall_high,annual_rainfall_level,annual_rainfall_low,annual_rainfall_high,monsoon_rainfall_level,monsoon_rainfall_low,monsoon_rainfall_high,monsoon_dependency,weather_severity_score,multi_vehicle,vehicle_risk_score,high_speed,low_speed,speed_risk_score,young_driver,elderly_driver,inexperienced_driver,alcohol_risk,road_risk_score,visibility_risk,night_rain_risk,rush_fog_risk,speed_rain_risk,young_night_risk,elderly_dark_risk,combined_risk_score,high_risk_state,state_risk_score,major_city,urban_area,severity_level,risk_score,high_risk,severe_accident
Himachal Pradesh,Unknown,2020.0,6.0,Thursday,22:25,Minor,5.0,1.0,3.0,Hazy,National Highway,Dry,Dusk,35.0,49,Female,No,22.0,Unknown,1901.0,10.0,Serious,41.0,HIMACHAL PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,3.0,0,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,20,23,3,0,0,0,0,0,1,0,0,1,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.791759469228055,0,0,0.35,0,0,0,0,0.5,0.0,0,0,0,0,0,0.11666666666666665,0,0.5,0,0,0,0.27958797346140274,0,0
Uttar Pradesh,Kanpur,2018.0,6.0,Tuesday,16:49,Fatal,3.0,1.0,4.0,Clear,National Highway,Wet,Dusk,46.0,41,Male,No,16.0,Unknown,1901.0,10.0,Serious,41.0,UTTAR PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,56,8,0,1,0,0,0,0,1,0,0,4,3,0,0,1,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.3862943611198906,0,0,0.46,0,0,0,0,0.5,0.0,0,0,0,0,0,0.15333333333333335,1,0.9,0,1,2,0.4893147180559945,0,1
Assam,Unknown,2021.0,6.0,Saturday,23:22,Serious,1.0,2.0,3.0,Hazy,Village Road,Under Construction,Daylight,46.0,55,Female,No,23.0,Unknown,1901.0,10.0,Serious,41.0,ASSAM,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,5.0,1,0,0,0,0,0,0,0,-0.25881904510252157,0.9659258262890681,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,5,23,3,0,0,0,0,4,0,0,1,2,2,1,0,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,0,0.6931471805599453,0,0,0.46,0,0,0,0,0.8,0.0,0,0,0,0,0,0.15333333333333335,0,0.5,0,0,1,0.4196573590279973,0,1
Bihar,Unknown,2020.0,6.0,Wednesday,6:47,Serious,5.0,0.0,0.0,Foggy,State Highway,Wet,Dusk,98.0,44,Female,No,6.0,Unknown,1901.0,10.0,Serious,41.0,BIHAR,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,1,0,0,0,0,2.0,0,1,0,0,0,0,0,0,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,7,23,2,0,0,1,0,1,1,0,0,4,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.791759469228055,1,0,0.98,0,0,0,0,0.5,0.4,0,0,0,0,0,0.5933333333333333,0,0.8,0,0,1,0.43458797346140277,0,1
Telangana,Unknown,2021.0,6.0,Friday,18:57,Serious,3.0,6.0,3.0,Foggy,National Highway,Wet,Dawn,47.0,54,Male,No,18.0,Unknown,1901.0,10.0,Serious,41.0,TELANGANA,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,1,0,0,0,1,1,4.0,0,1,1,0,0,0,0,0,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,52,23,2,0,0,1,0,0,1,0,0,4,1,0,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.3862943611198906,0,0,0.47,0,0,0,0,0.5,0.4,0,1,0,0,0,0.42333333333333334,0,0.5,0,0,1,0.4593147180559946,0,1
Arunachal Pradesh,Unknown,2018.0,6.0,Friday,12:6,Minor,4.0,4.0,5.0,Stormy,State Highway,Under Construction,Dusk,60.0,44,Female,No,12.0,Unknown,1901.0,10.0,Serious,41.0,ARUNACHAL PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,4.0,0,1,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,4,23,8,0,0,0,1,1,1,0,0,2,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.5,1,1.6094379124341003,0,0,0.6,0,0,0,0,0.8,0.0,0,0,0,0,0,0.3666666666666667,0,0.5,0,0,0,0.32547189562170503,0,0
Andhra Pradesh,Tirupati,2019.0,6.0,Sunday,12:47,Minor,2.0,7.0,4.0,Rainy,Village Road,Damaged,Dark,90.0,51,Female,No,12.0,Unknown,1901.0,10.0,Serious,41.0,ANDHRA PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,6.0,1,0,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,3,21,5,0,1,0,0,4,0,0,1,0,0,0,1,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.3,1,1.0986122886681098,1,0,0.9,0,0,0,0,0.9,0.6,0,0,1,0,0,0.6,0,0.5,0,1,0,0.2749306144334055,0,0
Karnataka,Bangalore,2023.0,6.0,Thursday,18:59,Fatal,5.0,10.0,2.0,Hazy,Village Road,Wet,Dark,114.0,51,Female,No,18.0,Unknown,1901.0,10.0,Serious,41.0,KARNATAKA,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,1,0,0,0,1,1,3.0,0,1,0,0,0,0,0,0,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,26,1,3,0,0,0,0,4,0,0,1,4,0,0,1,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.791759469228055,1,0,1.14,0,0,0,0,0.5,0.6,0,0,0,0,0,0.58,1,0.7,1,1,2,0.5595879734614028,0,1
Sikkim,Unknown,2023.0,6.0,Wednesday,10:51,Serious,3.0,7.0,1.0,Rainy,National Highway,Under Construction,Dawn,80.0,55,Male,Yes,10.0,Unknown,1901.0,10.0,Serious,41.0,SIKKIM,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,48,23,5,0,1,0,0,0,1,0,0,2,1,0,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.3,1,1.3862943611198906,1,0,0.8,0,0,0,1,0.8,0.0,0,0,1,0,0,0.3666666666666667,0,0.5,0,0,1,0.4843147180559945,0,1
Chhattisgarh,Unknown,2022.0,6.0,Saturday,6:39,Fatal,3.0,7.0,5.0,Foggy,State Highway,Wet,Daylight,46.0,57,Female,Yes,6.0,Unknown,1901.0,10.0,Serious,41.0,CHHATTISGARH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,1,0,0,0,0,5.0,1,0,0,0,0,0,0,0,1.0,6.123233995736766e-17,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,10,23,2,0,0,1,0,1,1,0,0,4,2,1,0,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.3862943611198906,0,0,0.46,0,0,0,1,0.5,0.4,0,0,0,0,0,0.4200000000000001,0,0.5,0,0,2,0.6093147180559946,1,1
Madhya Pradesh,Unknown,2018.0,6.0,Tuesday,8:10,Serious,5.0,6.0,3.0,Rainy,Urban Road,Dry,Dusk,30.0,20,Female,Yes,8.0,Unknown,1901.0,10.0,Serious,41.0,MADHYA PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,1,0,1,0,1,1.0,0,1,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,33,23,5,0,1,0,0,3,0,1,0,1,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.3,1,1.791759469228055,0,1,0.3,1,0,1,1,0.5,0.0,0,0,0,0,0,0.19999999999999998,0,0.7,0,0,1,0.5695879734614029,0,1
Puducherry,Unknown,2022.0,6.0,Wednesday,1:35,Serious,2.0,10.0,3.0,Hazy,Urban Road,Dry,Dusk,55.0,41,Female,No,1.0,Unknown,1901.0,10.0,Serious,41.0,PUDUCHERRY,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,43,23,3,0,0,0,0,3,0,1,0,1,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.0986122886681098,0,0,0.55,0,0,0,0,0.5,0.0,0,0,0,0,0,0.18333333333333335,0,0.5,0,0,1,0.3949306144334055,0,1
Uttar Pradesh,Varanasi,2022.0,6.0,Friday,18:51,Fatal,1.0,9.0,4.0,Clear,National Highway,Wet,Dawn,34.0,23,Female,Yes,18.0,Unknown,1901.0,10.0,Serious,41.0,UTTAR PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,1,0,0,0,1,1,4.0,0,1,1,0,0,0,0,0,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,56,25,0,1,0,0,0,0,1,0,0,4,1,0,0,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,0,0.6931471805599453,0,0,0.34,1,0,0,1,0.5,0.0,0,0,0,0,0,0.11333333333333334,1,0.9,0,1,2,0.6146573590279973,1,1
Maharashtra,Nagpur,2022.0,6.0,Tuesday,13:34,Serious,3.0,1.0,3.0,Foggy,National Highway,Dry,Daylight,106.0,48,Male,No,13.0,Unknown,1901.0,10.0,Serious,41.0,MAHARASHTRA,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,34,15,2,0,0,1,0,0,1,0,0,1,2,1,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.3862943611198906,1,0,1.06,0,0,0,0,0.5,0.4,0,0,0,0,0,0.62,1,0.8,0,1,1,0.4143147180559945,0,1
Jammu and Kashmir,Unknown,2022.0,6.0,Monday,3:29,Serious,1.0,1.0,1.0,Foggy,Urban Road,Damaged,Dawn,31.0,20,Male,No,3.0,Unknown,1901.0,10.0,Serious,41.0,JAMMU AND KASHMIR,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,0.0,1.0,22,23,2,0,0,1,0,3,0,1,0,0,1,0,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,0,0.6931471805599453,0,0,0.31,1,0,1,0,0.9,0.4,0,0,0,1,0,0.36999999999999994,0,0.5,0,0,1,0.5546573590279973,0,1
Tamil Nadu,Madurai,2018.0,6.0,Tuesday,11:10,Fatal,3.0,2.0,2.0,Stormy,National Highway,Wet,Daylight,92.0,43,Female,Yes,11.0,Unknown,1901.0,10.0,Serious,41.0,TAMIL NADU,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,1.0,0,1,0,0,0,0,0,0,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,51,11,8,0,0,0,1,0,1,0,0,4,2,1,0,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.5,1,1.3862943611198906,1,0,0.92,0,0,0,1,0.5,0.0,0,0,0,0,0,0.47333333333333333,1,0.7,0,1,2,0.6393147180559946,1,1
Madhya Pradesh,Unknown,2019.0,6.0,Wednesday,15:58,Minor,2.0,7.0,5.0,Clear,State Highway,Under Construction,Daylight,71.0,65,Male,No,15.0,Unknown,1901.0,10.0,Serious,41.0,MADHYA PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,33,23,0,1,0,0,0,1,1,0,0,2,2,1,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.0986122886681098,0,0,0.71,0,1,0,0,0.8,0.0,0,0,0,0,0,0.23666666666666666,0,0.7,0,0,0,0.2099306144334055,0,0
Madhya Pradesh,Unknown,2023.0,6.0,Wednesday,0:54,Fatal,1.0,10.0,1.0,Stormy,National Highway,Damaged,Dusk,90.0,64,Female,No,0.0,Unknown,1901.0,10.0,Serious,41.0,MADHYA PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,33,23,8,0,0,0,1,0,1,0,0,0,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.5,0,0.6931471805599453,1,0,0.9,0,0,0,0,0.9,0.0,0,0,0,0,0,0.4666666666666666,0,0.7,0,0,2,0.6946573590279973,1,1
Chandigarh,Unknown,2019.0,6.0,Friday,15:42,Serious,2.0,8.0,0.0,Stormy,Village Road,Wet,Daylight,83.0,31,Female,No,15.0,Unknown,1901.0,10.0,Serious,41.0,CHANDIGARH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,4.0,0,1,1,0,0,0,0,0,-0.7071067811865471,-0.7071067811865479,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,9,23,8,0,0,0,1,4,0,0,1,4,2,1,0,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.5,1,1.0986122886681098,1,0,0.83,0,0,0,0,0.5,0.0,0,0,0,0,0,0.44333333333333336,0,0.5,0,0,1,0.4049306144334055,0,1
Uttar Pradesh,Varanasi,2018.0,6.0,Sunday,10:53,Minor,3.0,2.0,1.0,Hazy,National Highway,Under Construction,Dusk,33.0,24,Female,Yes,10.0,Unknown,1901.0,10.0,Serious,41.0,UTTAR PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,6.0,1,0,0,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,56,25,3,0,0,0,0,0,1,0,0,2,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.3862943611198906,0,0,0.33,1,0,0,1,0.8,0.0,0,0,0,0,0,0.11,1,0.9,0,1,0,0.3343147180559945,0,0
